--------------------------------------------
La matrix no es diagonal dominante
Es posible que no se encuentre solucion
--------------------------------------------

Número de iteraciones totales:	1874
--------------------------------------------
Soluciones del sistema

x_1	= 0.604899
x_2	= 0.567969
x_3	= 0.006738
x_4	= 0.603156
x_5	= 0.597787
x_6	= 0.588701
x_7	= 0.485863
x_8	= 0.370396
x_9	= 0.006738
x_10	= 0.191088
x_11	= 0.575847
x_12	= 0.074430
x_13	= 0.604507
x_14	= 0.123126
x_15	= 0.538494
x_16	= 0.449280
x_17	= 0.336414
x_18	= 0.207981
x_19	= 0.593815
x_20	= 0.383808
x_21	= 0.050493
x_22	= 0.523423
x_23	= 0.246671
x_24	= 0.538114
x_25	= 0.006738
x_26	= 0.153111
x_27	= 0.574367
x_28	= 0.366521
x_29	= 0.443032
x_30	= 0.147404
x_31	= 0.571831
x_32	= 0.582834
x_33	= 0.006738
x_34	= 0.518593
x_35	= 0.501513
x_36	= 0.558681
x_37	= 0.113431
x_38	= 0.082092
x_39	= 0.219081
x_40	= 0.395616
x_41	= 0.241168
x_42	= 0.354570
x_43	= 0.600975
x_44	= 0.557779
x_45	= 0.085969
x_46	= 0.116924
x_47	= 0.182479
x_48	= 0.141691
x_49	= 0.211681
x_50	= 0.177699
x_51	= 0.274596
x_52	= 0.326212
x_53	= 0.498699
x_54	= 0.471315
x_55	= 0.423392
x_56	= 0.473997
x_57	= 0.496918
x_58	= 0.272935
x_59	= 0.437561
x_60	= 0.413905
x_61	= 0.310638
x_62	= 0.386995
x_63	= 0.549144
x_64	= 0.006738
x_65	= 0.006738
x_66	= 0.538083
x_67	= 0.442582
x_68	= 0.482420
x_69	= 0.446817
x_70	= 0.289128
x_71	= 0.405033
x_72	= 0.355752
x_73	= 0.264665
x_74	= 0.139267
x_75	= 0.526035
x_76	= 0.006738
x_77	= 0.006738
x_78	= 0.328279
x_79	= 0.193935
x_80	= 0.006738
x_81	= 0.512647
x_82	= 0.053871
x_83	= 0.081984
x_84	= 0.297511
x_85	= 0.465428
x_86	= 0.353736
x_87	= 0.341779
x_88	= 0.497353
x_89	= 0.074564
x_90	= 0.097963
x_91	= 0.474372
x_92	= 0.186418
x_93	= 0.498291
x_94	= 0.179617
x_95	= 0.124410
x_96	= 0.381579
x_97	= 0.243427
x_98	= 0.446817
x_99	= 0.006738
x_100	= 0.087065
x_101	= 0.413974
x_102	= 0.006738
x_103	= 0.079819
x_104	= 0.411129
x_105	= 0.380677
x_106	= 0.138515
x_107	= 0.155814
x_108	= 0.315334
x_109	= 0.315071
x_110	= 0.227540
x_111	= 0.240296
x_112	= 0.368618
x_113	= 0.233951
x_114	= 0.296130
x_115	= 0.257672
x_116	= 0.426846
x_117	= 0.329712
x_118	= 0.408524
x_119	= 0.559039
x_120	= 0.006738
x_121	= 0.519276
x_122	= 0.266277
x_123	= 0.066873
x_124	= 0.178165
x_125	= 0.466303
