--------------------------------------------
Soluciones del sistema

x_1	= 10.102970
x_2	= 10.205880
x_3	= 10.308730
x_4	= 10.411520
x_5	= 10.514250
x_6	= 10.616920
x_7	= 10.719530
x_8	= 10.822080
x_9	= 10.924570
x_10	= 11.027000
x_11	= 11.129370
x_12	= 11.231680
x_13	= 11.333930
x_14	= 11.436120
x_15	= 11.538250
x_16	= 11.640320
x_17	= 11.742330
x_18	= 11.844280
x_19	= 11.946170
x_20	= 12.048000
x_21	= 12.149770
x_22	= 12.251480
x_23	= 12.353130
x_24	= 12.454720
x_25	= 12.556250
x_26	= 12.657720
x_27	= 12.759130
x_28	= 12.860480
x_29	= 12.961770
x_30	= 13.063000
x_31	= 13.164170
x_32	= 13.265280
x_33	= 13.366330
x_34	= 13.467320
x_35	= 13.568250
x_36	= 13.669120
x_37	= 13.769930
x_38	= 13.870680
x_39	= 13.971370
x_40	= 14.072000
x_41	= 14.172570
x_42	= 14.273080
x_43	= 14.373530
x_44	= 14.473920
x_45	= 14.574250
x_46	= 14.674520
x_47	= 14.774730
x_48	= 14.874880
x_49	= 14.974970
x_50	= 15.075000
x_51	= 15.174970
x_52	= 15.274880
x_53	= 15.374730
x_54	= 15.474520
x_55	= 15.574250
x_56	= 15.673920
x_57	= 15.773530
x_58	= 15.873080
x_59	= 15.972570
x_60	= 16.072000
x_61	= 16.171370
x_62	= 16.270680
x_63	= 16.369930
x_64	= 16.469120
x_65	= 16.568250
x_66	= 16.667320
x_67	= 16.766330
x_68	= 16.865280
x_69	= 16.964170
x_70	= 17.063000
x_71	= 17.161770
x_72	= 17.260480
x_73	= 17.359130
x_74	= 17.457720
x_75	= 17.556250
x_76	= 17.654720
x_77	= 17.753130
x_78	= 17.851480
x_79	= 17.949770
x_80	= 18.048000
x_81	= 18.146170
x_82	= 18.244280
x_83	= 18.342330
x_84	= 18.440320
x_85	= 18.538250
x_86	= 18.636120
x_87	= 18.733930
x_88	= 18.831680
x_89	= 18.929370
x_90	= 19.027000
x_91	= 19.124570
x_92	= 19.222080
x_93	= 19.319530
x_94	= 19.416920
x_95	= 19.514250
x_96	= 19.611520
x_97	= 19.708730
x_98	= 19.805880
x_99	= 19.902970
