--------------------------------------------
Soluciones del sistema

x_1	= 0.094971
x_2	= -0.058299
x_3	= -0.008109
x_4	= 0.251539
x_5	= 0.039519
x_6	= -0.092915
x_7	= -0.126600
x_8	= -0.214958
x_9	= -0.129705
x_10	= 0.045903
x_11	= 0.097886
x_12	= 0.064882
x_13	= 0.239164
x_14	= 0.080554
x_15	= -0.138661
x_16	= -0.033786
x_17	= -0.158202
x_18	= 0.047352
x_19	= 0.108683
x_20	= 0.124016
x_21	= 0.019218
x_22	= -0.076981
x_23	= 0.002839
x_24	= -0.256142
x_25	= 0.150695
x_26	= -0.073993
x_27	= -0.025782
x_28	= -0.201547
x_29	= -0.159356
x_30	= 0.053101
x_31	= -0.109396
x_32	= 0.154697
x_33	= 0.142899
x_34	= 0.168569
x_35	= 0.245291
x_36	= 0.122493
x_37	= 0.061104
x_38	= -0.036737
x_39	= -0.082001
x_40	= -0.016787
x_41	= 0.041206
x_42	= -0.052390
x_43	= 0.129483
x_44	= 0.001146
x_45	= 0.025394
x_46	= 0.197902
x_47	= -0.003054
x_48	= -0.166606
x_49	= -0.026880
x_50	= 0.052283
x_51	= -0.141331
x_52	= 0.026097
x_53	= -0.073455
x_54	= -0.072679
x_55	= -0.074860
x_56	= -0.000881
x_57	= -0.108830
x_58	= 0.124901
x_59	= -0.127609
x_60	= 0.098402
x_61	= 0.094586
x_62	= -0.056428
x_63	= 0.160370
x_64	= 0.172502
x_65	= -0.118659
x_66	= 0.110768
x_67	= -0.015011
x_68	= 0.166218
x_69	= 0.022825
x_70	= -0.126487
x_71	= 0.087921
x_72	= 0.064682
x_73	= -0.093068
x_74	= 0.117307
x_75	= 0.269488
x_76	= 0.041744
x_77	= -0.024584
x_78	= -0.069134
x_79	= -0.054989
x_80	= -0.248527
x_81	= -0.111320
x_82	= -0.008554
x_83	= 0.072757
x_84	= -0.109592
x_85	= -0.114436
x_86	= -0.088422
x_87	= -0.130840
x_88	= -0.020072
x_89	= 0.018916
x_90	= -0.066155
x_91	= 0.157028
x_92	= 0.093459
x_93	= -0.006622
x_94	= -0.118778
x_95	= 0.061136
x_96	= -0.059110
x_97	= 0.120041
x_98	= -0.148942
x_99	= 0.014113
x_100	= -0.192653
